reviewTitle,title_result,reviewBody,body_result,aspects
Great product and great customer service,"[{'overall_score': 'positive', 'aspects': ['product', 'customer', 'service'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]",Bought the wrong size but they sent me the right one quickly. Vivid color on the collar and it seems durable. Thank you!,"[{'overall_score': 'positive', 'aspects': ['size', 'color', 'collar', 'thank'], 'sentiments': [{'word': 'wrong', 'sentiment': 'negative'}, {'word': 'right', 'sentiment': 'positive'}, {'word': 'vivid', 'sentiment': 'positive'}, {'word': 'durable', 'sentiment': 'positive'}, {'word': 'thank', 'sentiment': 'positive'}]}]","['product', 'customer', 'service', 'size', 'color', 'collar', 'thank']"
Very comfortable,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}]}]","I really liked the product true to size very comfortable, worth of price better than paying $60 This product is worth off $100 , recommend","[{'overall_score': 'positive', 'aspects': ['i', 'product', 'size', 'worth', 'price', 'product', 'recommend'], 'sentiments': [{'word': 'liked', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}, {'word': 'worth', 'sentiment': 'positive'}, {'word': 'better', 'sentiment': 'positive'}, {'word': 'worth', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}]}]","['i', 'product', 'size', 'worth', 'price', 'product', 'recommend']"
Perfect compact wallet,"[{'overall_score': 'positive', 'aspects': ['wallet'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}, {'word': 'compact', 'sentiment': 'positive'}]}]",Awesome design!,"[{'overall_score': 'positive', 'aspects': ['design'], 'sentiments': [{'word': 'awesome', 'sentiment': 'positive'}]}]","['wallet', 'design']"
"Sorry, not nearly as good as advertised.","[{'overall_score': 'negative', 'aspects': ['sorry'], 'sentiments': [{'word': 'sorry', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}]}]","I would have returned it, if it hadn't been so inexpensive, and I destroyed packaging too soon.","[{'overall_score': 'negative', 'aspects': ['i'], 'sentiments': [{'word': 'inexpensive', 'sentiment': 'positive'}]}]","['sorry', 'i']"
My puppy chews everything but this,"[{'overall_score': 'negative', 'aspects': ['chews', 'everything'], 'sentiments': []}]",Maybe this bone is great for some dogs but my teething puppy never picked this up.,"[{'overall_score': 'negative', 'aspects': ['bone', 'dogs', 'teething'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","['chews', 'everything', 'bone', 'dogs', 'teething']"
Very small,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",Very small,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",[]
Great looking and comfortable too,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}]}]","The socks are made well, fit perfect and look good. Just the right amount of elastic so the don’t fall down yet not bind.","[{'overall_score': 'positive', 'aspects': ['socks', 'perfect', 'amount', 'don', '’', 't', 'fall'], 'sentiments': [{'word': 'well', 'sentiment': 'positive'}, {'word': 'perfect', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'right', 'sentiment': 'positive'}, {'word': 'fall', 'sentiment': 'negative'}]}]","['socks', 'perfect', 'amount', 'don', '’', 't', 'fall']"
It’s okay,"[{'overall_score': 'neutral', 'aspects': ['okay'], 'sentiments': []}]","It’s not thick enough, everything popped when cooked","[{'overall_score': 'negative', 'aspects': ['everything', 'cooked'], 'sentiments': [{'word': 'enough', 'sentiment': 'positive'}]}]","['okay', 'everything', 'cooked']"
Loo,"[{'overall_score': 'neutral', 'aspects': ['loo'], 'sentiments': []}]",Little smaller than i thought.,"[{'overall_score': 'negative', 'aspects': ['i'], 'sentiments': []}]","['loo', 'i']"
Lightweight,"[{'overall_score': 'positive', 'aspects': ['lightweight'], 'sentiments': []}]",So worth to buy it with my bike.,"[{'overall_score': 'positive', 'aspects': ['bike'], 'sentiments': [{'word': 'worth', 'sentiment': 'positive'}]}]","['lightweight', 'bike']"
Very confortable.,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]","This is by far the best muzzle I’ve ever try on my dog. She was able to drink water while using it, and I was able to to even gave her treats with the muzzle on for training.","[{'overall_score': 'positive', 'aspects': ['muzzle', 'i', 've', 'dog', 'water', 'i', 'treats', 'muzzle', 'training'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]","['muzzle', 'i', 've', 'dog', 'water', 'i', 'treats', 'muzzle', 'training']"
Do NOT buy this controller,"[{'overall_score': 'negative', 'aspects': ['controller'], 'sentiments': []}]",This controller was only used TWICE in short sessions before we realized the LB button didn't work. Over $100 wasted on this trash defective controller.,"[{'overall_score': 'negative', 'aspects': ['controller', 'sessions', 'button', 'work', 'trash', 'controller'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'wasted', 'sentiment': 'negative'}, {'word': 'trash', 'sentiment': 'negative'}, {'word': 'defective', 'sentiment': 'negative'}]}]","['controller', 'controller', 'sessions', 'button', 'work', 'trash', 'controller']"
Not for children under 6,"[{'overall_score': 'negative', 'aspects': ['children'], 'sentiments': []}]",I would not recommend for children under 6. I purchased this for my nephew and the food pieces are to small.,"[{'overall_score': 'negative', 'aspects': ['i', 'children', 'i', 'nephew', 'food', 'pieces'], 'sentiments': [{'word': 'recommend', 'sentiment': 'positive'}]}]","['children', 'i', 'children', 'i', 'nephew', 'food', 'pieces']"
Cute and the right size,"[{'overall_score': 'positive', 'aspects': ['cute', 'size'], 'sentiments': [{'word': 'cute', 'sentiment': 'positive'}, {'word': 'right', 'sentiment': 'positive'}]}]",SO cute and don’t make my ears itch. Weren’t hard to get in.,"[{'overall_score': 'positive', 'aspects': ['’', 't', 'ears', 'weren'], 'sentiments': [{'word': 'cute', 'sentiment': 'positive'}, {'word': 'itch', 'sentiment': 'negative'}, {'word': 'hard', 'sentiment': 'negative'}]}]","['cute', 'size', '’', 't', 'ears', 'weren']"
Broke n cheap,"[{'overall_score': 'neutral', 'aspects': ['n'], 'sentiments': [{'word': 'broke', 'sentiment': 'negative'}, {'word': 'cheap', 'sentiment': 'negative'}]}]",Arrived broken.,"[{'overall_score': 'negative', 'aspects': ['broken'], 'sentiments': [{'word': 'broken', 'sentiment': 'negative'}]}]","['n', 'broken']"
Great!!!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",Got the timer for work because we needed something that wouldn’t just fall off the oven and this timer is perfect. I wish it were a little louder but it does the job for sure.,"[{'overall_score': 'positive', 'aspects': ['timer', 'work', 'something', '’', 't', 'oven', 'timer', 'louder', 'job'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'fall', 'sentiment': 'negative'}, {'word': 'perfect', 'sentiment': 'positive'}, {'word': 'louder', 'sentiment': 'negative'}]}]","['timer', 'work', 'something', '’', 't', 'oven', 'timer', 'louder', 'job']"
GREAT FIT,"[{'overall_score': 'positive', 'aspects': ['fit'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",These fit perfect in my ford ranger. The color was exactly as described and easy to put on.,"[{'overall_score': 'positive', 'aspects': ['perfect', 'ford', 'ranger', 'color'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]","['fit', 'perfect', 'ford', 'ranger', 'color']"
High hopes,"[{'overall_score': 'positive', 'aspects': ['hopes'], 'sentiments': []}]",It was fine until the top broke and I was able to spray at all. Only hot a few uses out if it. Never had that happen to me before.,"[{'overall_score': 'negative', 'aspects': ['broke', 'i', 'happen'], 'sentiments': [{'word': 'fine', 'sentiment': 'positive'}, {'word': 'top', 'sentiment': 'positive'}, {'word': 'broke', 'sentiment': 'negative'}, {'word': 'hot', 'sentiment': 'positive'}]}]","['hopes', 'broke', 'i', 'happen']"
Super cool for a month,"[{'overall_score': 'positive', 'aspects': ['cool', 'month'], 'sentiments': [{'word': 'super', 'sentiment': 'positive'}, {'word': 'cool', 'sentiment': 'positive'}]}]","I loved this product for the first few weeks, it gradually got dimmer every time it turned on. It’s barely on now","[{'overall_score': 'negative', 'aspects': ['i', 'product', 'weeks', 'time'], 'sentiments': [{'word': 'loved', 'sentiment': 'positive'}, {'word': 'dimmer', 'sentiment': 'negative'}]}]","['cool', 'month', 'i', 'product', 'weeks', 'time']"
Great Soap Dispenser,"[{'overall_score': 'positive', 'aspects': ['soap', 'dispenser'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","I love this soap dispenser.  It makes washing hands so much more sanitary and safe. It is easy to use and refill, an all around great product.","[{'overall_score': 'positive', 'aspects': ['soap', 'dispenser', 'hands', 'product'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'safe', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['soap', 'dispenser', 'soap', 'dispenser', 'hands', 'product']"
Love this blanket,"[{'overall_score': 'positive', 'aspects': ['blanket'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",I like everything about this blanket,"[{'overall_score': 'positive', 'aspects': ['i', 'everything', 'blanket'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}]}]","['blanket', 'i', 'everything', 'blanket']"
Wrong size,"[{'overall_score': 'negative', 'aspects': ['size'], 'sentiments': [{'word': 'wrong', 'sentiment': 'negative'}]}]",Was sent the wrong size,"[{'overall_score': 'negative', 'aspects': ['size'], 'sentiments': [{'word': 'wrong', 'sentiment': 'negative'}]}]","['size', 'size']"
Unexpected,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'unexpected', 'sentiment': 'negative'}]}]","This ramen was absolutely DELICIOUS!! The spice is definitely there, but I’m sorry in my opinion it was NOT the spiciest ramen in the world. BUT the flavor is the best taste you will have! My god it is so good. I wish I took pictures, but when I thought of it, the bowl was already gone. Would definitely recommend this to anyone. Still a great experience,  but everyone is different so if you’re not into spicy then you should still be cautious because of some people this will be VERY spicy. Enjoy!","[{'overall_score': 'positive', 'aspects': ['ramen', 'spice', '’', 'm', 'sorry', 'opinion', 'ramen', 'world', 'flavor', 'taste', 'god', 'i', 'pictures', 'thought', 'bowl', 'anyone', 'experience', 'everyone', 'spicy', 'people', 'enjoy'], 'sentiments': [{'word': 'delicious', 'sentiment': 'positive'}, {'word': 'sorry', 'sentiment': 'negative'}, {'word': 'best', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'enjoy', 'sentiment': 'positive'}]}]","['ramen', 'spice', '’', 'm', 'sorry', 'opinion', 'ramen', 'world', 'flavor', 'taste', 'god', 'i', 'pictures', 'thought', 'bowl', 'anyone', 'experience', 'everyone', 'spicy', 'people', 'enjoy']"
Precio y calidad,"[{'overall_score': 'positive', 'aspects': ['precio', 'y', 'calidad'], 'sentiments': []}]","Muy económico y práctico. Me adelanta el trabajo, pues siempre tengo un reemplazo con el cable.","[{'overall_score': 'positive', 'aspects': ['muy', 'económico', 'y', 'práctico', 'trabajo', 'pues', 'reemplazo', 'con', 'el', 'cable'], 'sentiments': []}]","['precio', 'y', 'calidad', 'muy', 'económico', 'y', 'práctico', 'trabajo', 'pues', 'reemplazo', 'con', 'el', 'cable']"
"These are all off, none of the butterflies are cut right","[{'overall_score': 'neutral', 'aspects': ['none', 'butterflies'], 'sentiments': [{'word': 'right', 'sentiment': 'positive'}]}]",15 bucks and a container of garbage bad cuts that look like junk and it says not returnable. Trash they are just trash,"[{'overall_score': 'negative', 'aspects': ['bucks', 'container', 'garbage', 'cuts', 'junk', 'trash'], 'sentiments': [{'word': 'garbage', 'sentiment': 'negative'}, {'word': 'bad', 'sentiment': 'negative'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'junk', 'sentiment': 'negative'}, {'word': 'trash', 'sentiment': 'negative'}, {'word': 'trash', 'sentiment': 'negative'}]}]","['none', 'butterflies', 'bucks', 'container', 'garbage', 'cuts', 'junk', 'trash']"
Comfy,"[{'overall_score': 'positive', 'aspects': ['comfy'], 'sentiments': [{'word': 'comfy', 'sentiment': 'positive'}]}]",So soft and comfy,"[{'overall_score': 'positive', 'aspects': ['comfy'], 'sentiments': [{'word': 'soft', 'sentiment': 'positive'}, {'word': 'comfy', 'sentiment': 'positive'}]}]","['comfy', 'comfy']"
Awesome,"[{'overall_score': 'positive', 'aspects': ['awesome'], 'sentiments': [{'word': 'awesome', 'sentiment': 'positive'}]}]",Amazing hands down,"[{'overall_score': 'positive', 'aspects': ['hands'], 'sentiments': [{'word': 'amazing', 'sentiment': 'positive'}]}]","['awesome', 'hands']"
overpriced,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'overpriced', 'sentiment': 'negative'}]}]","overpriced, cannot believe I paid almost 7 dollars fro 2 oz of seed.  1 1/2 meager pickings and had to pull them up.","[{'overall_score': 'negative', 'aspects': ['i', 'dollars', 'oz', 'seed', 'meager', 'pickings'], 'sentiments': [{'word': 'overpriced', 'sentiment': 'negative'}, {'word': 'meager', 'sentiment': 'negative'}]}]","['i', 'dollars', 'oz', 'seed', 'meager', 'pickings']"
"Excellent Steam Mop, Easy to Use","[{'overall_score': 'positive', 'aspects': ['steam', 'mop'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]","We bought this mop after something oil based got on our tiled kitchen floor while we were moving and we were having trouble cleaning it. We found this steam mop, ordered it & it arrived quickly and did the trick. The floor looked great & it did not take a lot of time. It is lightweight & very easy to use.  Compact, so uses minimal storage space. We were very pleased with the job it did & thrilled it reduced the time we spent getting our house ready to sell. I would definitely recommend this product.","[{'overall_score': 'positive', 'aspects': ['mop', 'something', 'oil', 'kitchen', 'floor', 'trouble', 'steam', 'mop', 'trick', 'floor', 'lot', 'time', 'compact', 'storage', 'space', 'job', 'time', 'house', 'i', 'product'], 'sentiments': [{'word': 'trouble', 'sentiment': 'negative'}, {'word': 'trick', 'sentiment': 'negative'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'compact', 'sentiment': 'positive'}, {'word': 'pleased', 'sentiment': 'positive'}, {'word': 'thrilled', 'sentiment': 'positive'}, {'word': 'ready', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}]}]","['steam', 'mop', 'mop', 'something', 'oil', 'kitchen', 'floor', 'trouble', 'steam', 'mop', 'trick', 'floor', 'lot', 'time', 'compact', 'storage', 'space', 'job', 'time', 'house', 'i', 'product']"
Just like my old magpul,"[{'overall_score': 'positive', 'aspects': ['magpul'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}]}]",Great quality. I'm a long time user of magpul cases and this one is identical.,"[{'overall_score': 'positive', 'aspects': ['quality', 'time', 'user', 'magpul', 'cases'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","['magpul', 'quality', 'time', 'user', 'magpul', 'cases']"
