ReviewTitle,ReviewBody,Aspects,Sentiment,GeneratedResponse
A must have.,I use it for much more than celery and it's great. I bought it because of Medical Medium :),"[""* The product's versatility (used for something other than celery)""]","['* Positive sentiment (the reviewer uses the phrase ""A must have"" to express enthusiasm and strongly recommends the product)']",Thank you for your positive feedback!
Great for price,Great socks,['* Price'],"['* Positive: ""Great""']",Thank you for your positive feedback!
0,No,{},[],Thank you for your feedback!
5/10 Stability and 3/10 for Fishing,"I don’t believe this product should be advertised as a fishing kayak, as shown in the photographs provided. The stability of this kayak is also less than I expected when trying to fish off the side of it. Despite this the kayak does seem durable, fits in the trunk of a coupé with room to spare, was shipped quickly and with all the advertised pieces. Just aware that the warranty is not active for amazon purchases. I’ve decided to purchase the 285FPB from their official website, as it was advertised as strictly a fishing device.",['1. Stability (mentioned as 5/10)'],['1.'],Thank you for your feedback!
They save time and wasted potatoes,Peel potatoes,['1. Saving time'],"['1. Positive (the phrase ""save time"" implies a positive sentiment, as saving time is generally beneficial and appreciated)']",Thank you for your positive feedback!
Good system,It’s a great system. Plays well. And the graphics are amazing. It’s a PlayStation. It sells itself,['1. System'],"['1. Positive (4 times, using words like ""good"", ""great"", ""amazing"", and ""sells itself"")']",Thank you for your positive feedback!
works great - great color,love these colors - need to find larger bottles!!!,['* Performance (works great)'],"['* Positive: ""works great"" (neutral), ""great color"" (positive), ""love"" (positive)']",Thank you for your positive feedback!
Worked great for road trip,It was easy to install and worked great for the family road trip.,['1. Installation'],['1. Positive (easy to install)'],Thank you for your positive feedback!
Olive Oil?,This product is just olive oil with calendula flowers added. Who knows how much calendula,['1. Ingredient quality: The reviewer is questioning the authenticity of the olive oil and the amount of calendula flowers added.'],"['1. Skepticism: The reviewer is expressing doubt and uncertainty about the product, particularly the amount of calendula flowers added.']",Thank you for your feedback!
Stick with what you know.,The blade doesn't cut well at all. It is not smooth and vibrates I had to take it off the saw after a few cuts. I have 4 other saws and have used these type of saws for years that is concrete / demo saws.,{},[],Thank you for your feedback!
Cute Cute Cute,Very Cute!  Fast shipping,['* Cuteness'],"['* Extremely positive (words used: ""Cute"", ""Very Cute"", ""Fast"")']",Thank you for your feedback!
Artfully crafted cobalt drinking glasses,"I am thrilled with my purchase! Perfect size, thickness, weight, and beautiful cobalt color. I for sure will order more from NOVICA. Definitely worth the wait, all the way from Mexico! Quality shipping packaging.",['1. Product (drinking glasses)'],['1. Thrilled'],Thank you for your feedback!
Good quality,"True to fit for the most part, the hip area of the pants are a little big on me but i love the color and quality",['* Quality'],['* Positive sentiment towards:'],Thank you for your positive feedback!
Awesome for book shelves & tea shelf,Small but very strong and sturdy. I know they’ll hold up these bookshelves perfectly.,['1. Book shelves'],"['1. Positive (~4.5/5) - The reviewer uses words like ""Awesome"" and ""perfectly"" to express their satisfaction.']",Thank you for your positive feedback!
"Great product.  Holds our 100+ pound part ""sled dog"" back",Product works great.  Freed my hands when I'm hiking so I can use my hiking poles.,['1. Product performance'],['1.'],Thank you for your feedback!
Bit by rip-off shark,"poor craftsmanship, amateur paint, non-realistic characterization, not fit for a 2-year old or older.",['1. Craftsmanship (poor)'],['1. Negative (dominant sentiment)'],We apologize for your experience. We'll work to address these issues.
Super easy.,Everything you need for an oil change except an oil filter wrench,{},[],Thank you for your feedback!
Best cup warmer ever,So far everything is great!,['1. Cup warmer'],"['1. Extremely positive sentiment (expressed through the use of the word ""Best"")']",Thank you for your feedback!
Not breathable,"I suppose I should have been more suspicious about a mattress cover that claimed to be both breathable and water-proof. The inside of it is lined with some sort of plastic or rubber, which may be waterproof, but is not breathable. You can test this yourself, put it against your lips and blow. No air passes through. There's a softer fabric over the top, but that's not going to provide any sort of air flow. If you have a mattress that's supposed to be breathable or have a cooling effect, a sheet of plastic between you and it pretty much nullifies the effect.",['1. Breathability'],['1.'],Thank you for your feedback!
Good,Working,{},[],Thank you for your feedback!
Nice Product,Worth it.. because of nice features like monitoring energy.. I am using for morning breakfast egg boiler.. scheduling is super nice. very happy with purchase,['1. Product features (monitoring energy)'],"['1. Positive: ""Nice"", ""Worth it"", ""very happy""']",Thank you for your positive feedback!
Love it,My kids love it. It helps them organize their dolls and accessories,['1. Helpfulness (organizes dolls and accessories)'],"['1. Positive sentiment: ""Love it"" (strongly positive)']",Thank you for your positive feedback!
Loooooves it!,Gave as a Christmas gift and the giftee can’t stop praising it. The pic is clear and the size is huge.,"['1. Picture quality (mentioned as ""pic is clear"")']","['1. Positive sentiment (""Loooooves it!"" - strong enthusiasm)']",Thank you for your positive feedback!
Es hermoso!!!,"Leí los comentarios y note que las tallas no eran exactas, fui precavida y compré una talla menos, le va quedar perfecto!!! Es hermoso, excelente calidad �",['1. Quality'],"['1. Positive (strong emphasis on the use of ""¡Es hermoso!!!"")']",Thank you for your positive feedback!
colors don't match,Seems too thick and doesn't match skin.  The colors look different than shown and very hard to find one to match skin.,['1. Colors'],"['1. Negative sentiment towards the colors: ""colors don\'t match""']",We apologize for your experience. We'll work to address these issues.
They fit.,"The undies are soft, stretchy and comfortable.",{},[],Thank you for your feedback!
Works well,"this works great, very slim design and intuitive. All charging ports/stations work well, I like that you can just use the single charging station for the phone and separate the iWatch and AirPod. Perfect for office or in home.",['1. Design ( slim design)'],"['1. Positive (works great, perfect, like)']",Thank you for your positive feedback!
